Short description,Description,Caller,Assignment group,New_Assignment_Groups,Text_length,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
wireless mouse is missing from desk,wireless mouse miss desk wireless mouse miss desk need new replace wireless mouse,qkmgtnla buraxcij,GRP_3,GRP_3,70,0.0,0.9641000032424927,"user, issue, tool, unable, access, error, need, work, help, system","['need', 'new', 'replace']"
msd -unable to sync all the contact information from outlook to crm,msd unable sync contact information outlook crm unable sync contact information outlook crm address notes field sync crm contact possible put company name customer manually contact number,crjhotyk pxslorbe,GRP_22,GRP_22,238,0.0,0.9922000169754028,"user, issue, tool, unable, access, error, need, work, help, system","['msd', 'unable', 'sync', 'contact', 'information', 'information', 'address', 'possible', 'put', 'company', 'name', 'customer', 'manually', 'contact', 'number']"
probleme mit portal \ user : gogtyekthyto \vzqomdgt jwoqbuml,probleme mit portal user gogtyekthyto probleme mit portal user gogtyekthyto,vzqomdgt jwoqbuml,GRP_24,GRP_24,60,0.0,0.5715000033378601,"user, issue, tool, unable, access, error, need, work, help, system","['portal', 'user', 'gogtyekthyto', 'probleme_mit', 'portal', 'user', 'gogtyekthyto']"
re: inc1547248- logging into mii supervisor dashbankrd results in error pop-up.. 'internal server error',inc logging mii supervisor dashbankrd result error pop internal server error hi stefyty recent move change improve performance please check still get issue,wsabzycm pbhrmnyz,GRP_41,GRP_41,193,0.0,0.9922000169754028,"user, issue, tool, unable, access, error, need, work, help, system","['supervisor', 'dashbankrd', 'error', 'pop', 'internal', 'server', 'error', 'recent', 'move', 'change', 'improve', 'performance', 'check', 'still', 'issue']"
job Job_593 failed in job_scheduler at: 10/13/2016 04:58:00  ,job job fail job scheduler job job fail job scheduler,bpctwhsn kzqsbmtp,GRP_8,GRP_8,105,2.0,0.9725000262260437,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'job', 'fail', 'job', 'scheduler', 'job', 'job', 'fail', 'job', 'scheduler']"
automatical stock transfers shows wrong (tool late) delivery date; route the ticket forward to supply_chain team please ,automatical stock transfer show wrong tool late delivery date route ticket forward supply chain team please hello problem wrong late automaticaly create stock stransfer delivery date late need plant show delivery date part available plant dosen show stock transfer wrong delivery date problem issue need solve p,yfmaqovp wdonhbez,GRP_6,GRP_6,405,0.0,0.9617999792098999,"user, issue, tool, unable, access, error, need, work, help, system","['show', 'wrong', 'tool', 'late', 'delivery', 'date', 'route', 'ticket', 'supply_chain', 'team', 'problem', 'wrong', 'late', 'automaticaly', 'create', 'stock', 'stransfer', 'delivery', 'date', 'late', 'need', 'plant', 'show', 'delivery', 'date', 'part', 'available', 'plant', 'show', 'wrong', 'delivery', 'date', 'problem', 'issue', 'need', 'solve']"
ethics training course,ethic training course hi every quarter course add appear current learning find course name team mate check browse option could please help resolve issue permanently good,aunkpchr qsyvrmjl,GRP_23,GRP_23,305,0.0,0.9947999715805054,"user, issue, tool, unable, access, error, need, work, help, system","['ethic_traine', 'course', 'quarter', 'course', 'add', 'appear', 'current', 'learning', 'find', 'course', 'name', 'team', 'mate', 'check', 'browse', 'option', 'could', 'please', 'help', 'resolve', 'issue', 'permanently', 'good']"
drucker em93 macht willkÃ¼rlich flecken auf den ausdrucken/kopien !!!,drucker -PRON- macht willk rlich flecken auf den ausdrucken kopien drucker -PRON- macht willk rlich flecken auf den ausdrucken kopien,ltxzfcgm sxvigclz,GRP_42,GRP_42,69,0.0,0.6464999914169312,"user, issue, tool, unable, access, error, need, work, help, system",[]
company-eu-deu-germany-e-b2-f2-new-office-3550-access-sw01 power supply issue.,company eu deu germany b new office access sw power supply issue internal power supply company eu deu germany b new office access sw show faulty company eu deu germany b new sh env fan ok temperature ok power faulty rps present,bozdftwx smylqejw,GRP_4,GRP_4,243,1.0,0.5475999712944031,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['company', 'access', 'issue', 'internal', 'power', 'supply', 'company', 'access', 'show', 'faulty', 'company', 'temperature', 'present']"
computer check,computer check hi please check computer excel run slowly analyst planning report company share service gmbh gesch ftsf hrer diese mitteilung ist einzig und allein r die nutzung durch den adressaten bestimmt und kann informationen enthalten die schutzw rdig vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind die verbreitung verteilung oder vervielf ltigung dieser mitteilung durch personen bei denen es sich nicht um die beabsichtigten empf nger handelt ist streng verboten wenn diese mitteilung aufgrund eine versehen bei ihnen eingegangen ist dann benachrichtigen sie bitte den absender und schen sie diese mitteilung company post select follow link view disclaimer alternate language,qhyoiwls uynrhiva,GRP_28,GRP_28,1018,0.0,0.6007999777793884,"user, issue, tool, unable, access, error, need, work, help, system","['computer', 'check', 'check', 'computer', 'run', 'slowly', 'analyst', 'planning', 'company', 'share', 'service', 'und', 'bitte', 'mitteilung', 'company', 'post_select', 'follow', 'link', 'view_disclaimer']"
reset the password for xaykwtrf amlswjfr on erp / produktion / erp,reset password erp produktion erp reset password erp produktion erp,xaykwtrf amlswjfr,GRP_0,GRP_0,66,0.0,0.6464999914169312,"user, issue, tool, unable, access, error, need, work, help, system",[]
probleme mit lan \youfzmgp xvysrnmb,probleme mit lan probleme mit lan,youfzmgp xvysrnmb,GRP_24,GRP_24,35,0.0,0.6464999914169312,"user, issue, tool, unable, access, error, need, work, help, system",[]
no vpn connection my employee p. financial.,vpn connection employee financial name language browser microsoft internet explorer customer number telephone summary vpn connection employee financial ic welcome next available agent shortly interaction alert agent website visitor join conversation dwfiykeo argtxmvcumar hello petrghada financial pethrywr financial dwfiykeo argtxmvcumar ok call urgent dwfiykeo argtxmvcumar ok,jvxtfhkg heptuizn,GRP_0,GRP_0,582,0.0,0.9894000291824341,"user, issue, tool, unable, access, error, need, work, help, system","['financial', 'name', 'summary', 'vpn', 'connection', 'employee', 'financial', 'agent', 'website_visitor', 'call', 'urgent']"
ç­”å¤: ticket_no1559458 : wireless guest access- hr_tool trainer,ticket wireless guest access hr tool trainer hi well receive,krnzfoct mnjbuedp,GRP_0,GRP_0,68,0.0,0.9855999946594238,"user, issue, tool, unable, access, error, need, work, help, system","['ticket', 'wireless', 'guest', 'access', 'hr', 'tool', 'well', 'receive']"
wifi connection is intermittent (getting frequently disconnected) in india.,wifi connection intermittent get frequently disconnect india wifi connection intermittent get frequently disconnect india contact intranet get affect,ykcvjwax cfigbjuo,GRP_8,GRP_8,117,0.0,0.9902999997138977,"user, issue, tool, unable, access, error, need, work, help, system","['connection', 'intermittent', 'get', 'frequently', 'disconnect', 'connection', 'intermittent', 'get', 'frequently', 'disconnect', 'intranet', 'affect']"
[erp] reroute production order printer mp74 to mp82,erp reroute production order printer mp mp production order printer mp need route mp erp system include drawing etc unable find printer mp ticket tool ad erp print tool reroute priter name prqmp work,xvwchsdg pladjmxt,GRP_5,GRP_5,255,0.0,0.9940999746322632,"user, issue, tool, unable, access, error, need, work, help, system","['production', 'order', 'printer', 'production', 'order', 'printer', 'need', 'system', 'include', 'draw', 'unable', 'find', 'printer', 'ticket', 'tool', 'reroute', 'priter', 'name', 'prqmp', 'work']"
:network problem in india office,network problem india office telephone summary network problem india ic welcome next available agent shortly interaction alert agent website visitor join conversation dwfiykeo argtxmvcumar hello,ruhvqcwz kdqzlijw,GRP_4,GRP_4,233,0.0,0.7390999794006348,"user, issue, tool, unable, access, error, need, work, help, system","['network', 'problem', 'agent', 'website_visitor']"
missing punches,miss punch hello punch miss erp employee end night shift today morning location germany germany machining please help,qwghibcf uptkgzbe,GRP_52,GRP_52,159,0.0,0.9811000227928162,"user, issue, tool, unable, access, error, need, work, help, system","['employee', 'night', 'shift', 'today', 'morning', 'help']"
upgrade pc ramdnty,upgrade pc ramdnty raise ticket upgrade system ramdnty mine upgrade gb assign sridthshar herytur,nrugzxkl lohqkvry,GRP_19,GRP_19,107,0.0,0.9883999824523926,"user, issue, tool, unable, access, error, need, work, help, system","['upgrade', 'pc', 'ramdnty', 'raise', 'ticket', 'upgrade', 'system', 'ramdnty', 'mine', 'upgrade']"
ticket_no1559458 : wireless guest access- hr_tool trainer,ticket wireless guest access hr tool trainer hi please find credential guest access annyhtie zhothu,aorthyme rnsuipbk,GRP_0,GRP_0,161,0.0,0.9901999831199646,"user, issue, tool, unable, access, error, need, work, help, system","['ticket', 'wireless', 'guest', 'access', 'hr', 'tool', 'find', 'credential', 'guest', 'access', 'annyhtie', 'zhothu']"
"
this link can not be open",link open link open,vroxskje bixtmefd,GRP_0,GRP_0,27,0.0,0.9722999930381775,"user, issue, tool, unable, access, error, need, work, help, system","['link', 'open', 'link', 'open']"
grir issues plant_322 for ice alt. routes from usa,grir issues plant ice alt route usa email maryhtutina bauuyternfeyt athyndy eartyp review alternate route shipment -PRON- warehouse discrepancy posting inwarehouse tool cancel please cancel gr well delivery note inwarehouse tool cancel please cancel gr well delivery note inwarehouse tool cancel please cancel gr well delivery note,cbligfne wmoxktnj,GRP_53,GRP_53,443,0.0,0.9926000237464905,"user, issue, tool, unable, access, error, need, work, help, system","['pron', 'warehouse', 'discrepancy', 'post', 'inwarehouse', 'tool', 'cancel', 'cancel', 'inwarehouse', 'tool', 'cancel', 'cancel', 'inwarehouse', 'tool', 'cancel', 'cancel']"
account blocked,account block hello could help unlock account get,kmzwjdsb ejgnafcy,GRP_0,GRP_0,120,0.0,0.9722999930381775,"user, issue, tool, unable, access, error, need, work, help, system","['could', 'help', 'unlock', 'account']"
datenÃ¼bertragung nicht mÃ¶glich!,daten bertragung nicht glich keine daten bertragung von pc auf maschine glich werk plant workcenter ebm maschine pc eemwx programdntym winprodnc ansprechpartner wunthyder,ajiqfrkz dolmpkqf,GRP_42,GRP_42,183,2.0,0.933899998664856,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['programdntym', 'winprodnc', 'ansprechpartner', 'wunthyder']"
ess portal,ess portal hello unable log bex website ess portal please help,ygkzwsud cvjgkxws,GRP_0,GRP_0,133,0.0,0.9487000107765198,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'help']"
current learning - ethics,current learning ethic hi month usually get new ethic training course time receive ethic mail also current learn empty colleague get mail complete course time need complete course,bcxpeuko utorqehx,GRP_23,GRP_23,332,0.0,0.9952999949455261,"user, issue, tool, unable, access, error, need, work, help, system","['current', 'learn', 'ethic', 'hi', 'month', 'usually', 'new', 'ethic_training', 'course', 'time', 'receive', 'ethic', 'mail', 'also', 'current', 'learn', 'empty', 'colleague', 'mail', 'complete', 'course', 'time', 'need', 'complete', 'course']"
ç”µè„‘æ— æ³•æ‰“å¼€ç½‘é¡µã€‚,crm vpn ethic,tmufgokq qtzavows,GRP_31,GRP_31,212,0.0,0.6464999914169312,"user, issue, tool, unable, access, error, need, work, help, system",[]
production order cannot be released - 115991131,production order release hello production order release cer active business ta carry please see attach screenshot please solve aerp shipment today,vujymcls sgpmyviq,GRP_45,GRP_45,211,0.0,0.9383999705314636,"user, issue, tool, unable, access, error, need, work, help, system","['production', 'order', 'release', 'hello', 'production', 'order', 'release', 'cer', 'active', 'business', 'carry', 'see', 'attach', 'screenshot', 'solve', 'aerp', 'shipment', 'today']"
usa warehouse:long distance service down,usa warehouse long distance service mdghayi redytudy datacenter tiyhum kuyiomar long distance service hello dac alarm one circuit -PRON- dhec usa please open ticket global telecom co ordinate,jvhqyamt wodzrcjg,GRP_8,GRP_8,302,1.0,0.6640999913215637,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['mdghayi', 'datacenter', 'service', 'circuit', 'pron', 'dhec', 'open', 'ticket', 'co', 'ordinate']"
"payment method change from ""t"" to ""c"" for all employee vendors in 5323 & 5330",payment method change employee vendor pm nathyresh gayhtjula rwuqydvo anecdfps pradyhtueep yyufs apt run hi nathyresh request change payment method instead employee master,gnasmtvx cwxtsvkm,GRP_10,GRP_10,264,0.0,0.8125,"user, issue, tool, unable, access, error, need, work, help, system","['payment', 'method', 'change', 'employee', 'pradyhtueep', 'apt', 'request', 'change', 'payment', 'method', 'instead', 'employee', 'master']"
anti-fmxcnwpu tcwrdqboinition is not updated from long time,anti fmxcnwpu tcwrdqboinition update long time anti fmxcnwpu tcwrdqboinition update long time attach screenshot,ldsjntax eqozfasc,GRP_50,GRP_50,85,0.0,0.9871000051498413,"user, issue, tool, unable, access, error, need, work, help, system","['update', 'long', 'time', 'anti', 'update', 'long', 'time', 'attach', 'screenshot']"
job Job_1329 failed in job_scheduler at: 10/13/2016 00:11:00  ,job job fail job scheduler job job fail job scheduler,bpctwhsn kzqsbmtp,GRP_9,GRP_9,106,2.0,0.9725000262260437,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'job', 'fail', 'job', 'scheduler', 'job', 'job', 'fail', 'job', 'scheduler']"
pricing condition issue in oa,pricing condition issue oa hello recent past face issue pricing condition get change book order though override pricing condition znr pricing condition remain zlp example oa price write znr condition nett price r still price condition show zlp standard discount observe whenever sub delivery item create due non availability stock issue crop challan create become difficult make change request look immediately assign sev ticket resolve await feedback,fgdsvija qvixmubh,GRP_13,GRP_13,826,0.0,0.9979000091552734,"user, issue, tool, unable, access, error, need, work, help, system","['pricing', 'condition', 'issue', 'recent', 'past', 'face', 'issue', 'pricing', 'condition', 'get', 'change', 'book', 'order', 'override', 'pricing', 'condition', 'pricing', 'condition', 'remain', 'example', 'price', 'write', 'condition', 'nett', 'price', 'still', 'price', 'condition', 'show', 'standard', 'discount', 'observe', 'whenever', 'sub', 'delivery', 'item', 'create', 'due', 'non', 'availability', 'stock', 'crop', 'create', 'become', 'difficult', 'make', 'change', 'request', 'look', 'immediately', 'assign', 'sev', 'ticket', 'resolve', 'await', 'feedback']"
need network connection for alicona edgemaster at pu5,need network connection alicona edgemaster pu helpdesk please provide network connection alicona edgemaster hone measure equipment instal pu necessary software update also shatryung relevant information global team,vtwxaefm ljisafue,GRP_19,GRP_19,278,0.0,0.5480999946594238,"user, issue, tool, unable, access, error, need, work, help, system","['need', 'network', 'connection', 'provide', 'network', 'connection', 'alicona', 'edgemaster', 'hone', 'measure', 'equipment', 'instal', 'necessary', 'software', 'update', 'also', 'shatryung', 'relevant', 'information', 'global', 'team']"
the printer is defaulting to the usa printer for delivery notes.  need to take the default out so it defaults to  ,printer default usa printer delivery note need take default default kryuisti turleythy pm nwfodmhc exurcwkm rakthyesh fw delivery note bakyhr huhuyghe please see string email issue happen transfer shipping material use ship usa shipped usa usa printer default usa printer delivery note need take default default shipping plant please let know need information know trigger print usa printer issue usa kryuisti turleythy usa site business manager kryuisti turleythy ebpwcfla qoxvpbam gmnhjfbw farnwhji delivery note bakyhr huhuyghe issue reason default usa printer delivery note printer number send printer future order save delivery go extra delivery output header change printer communication method kryuisti turleythy usa site business manager ebpwcfla qoxvpbam kryuisti turleythy delivery note bakyhr huhuyghe item line pick request delivery kryuisti turleythy ebpwcfla qoxvpbam delivery note bakyhr huhuyghe give order number kryuisti turleythy usa site business manager ebpwcfla qoxvpbam kryuisti turleythy delivery note bakyhr huhuyghe hi kryuisti try ship order bakyhrer huhuyghe pick request unable print delivery note way help kenny know,hybiaxlk lawptzir,GRP_18,GRP_18,2172,0.0,0.9983000159263611,"user, issue, tool, unable, access, error, need, work, help, system","['nee', 'take', 'default', 'default', 'rakthyesh', 'bakyhr_huhuyghe', 'see', 'string', 'email', 'issue', 'happen', 'transfer', 'shipping', 'material', 'use', 'ship', 'nee', 'take', 'default', 'default', 'shipping', 'plant', 'let_know', 'need', 'information', 'know', 'issue', 'business', 'manager', 'issue', 'reason', 'default', 'printer', 'number', 'send', 'printer', 'future', 'order', 'save', 'delivery', 'go', 'extra', 'delivery', 'output', 'header', 'change', 'printer', 'communication', 'method', 'bakyhr_huhuyghe', 'item', 'line', 'pick', 'request', 'delivery', 'bakyhr_huhuyghe', 'give', 'order', 'number', 'try', 'ship', 'order', 'bakyhrer', 'pick', 'request', 'unable', 'print', 'way', 'help', 'know']"
folder missing,folder miss dear sir pkj folder miss guest hostname prakaythsh kujigalore senior manager engineering,munxvfhw texsbopi,GRP_0,GRP_0,225,0.0,0.9487000107765198,"user, issue, tool, unable, access, error, need, work, help, system","['manager', 'engineering']"
windows account frequently getting locked.,window account frequently get lock window account frequently get lock,wyxqkzmf urigtqnp,GRP_0,GRP_0,42,0.0,0.9883999824523926,"user, issue, tool, unable, access, error, need, work, help, system","['window', 'account', 'frequently', 'get', 'lock', 'window', 'account', 'frequently', 'get', 'lock']"
job Job_568 failed in job_scheduler at: 10/12/2016 22:33:00  ,job job fail job scheduler job job fail job scheduler,bpctwhsn kzqsbmtp,GRP_8,GRP_8,105,2.0,0.9725000262260437,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'job', 'fail', 'job', 'scheduler', 'job', 'job', 'fail', 'job', 'scheduler']"
job bkwin_HostName_770_inc failed in job_scheduler at: 10/12/2016 22:13:00  ,job bkwin hostname inc fail job scheduler backup statistics session queuing time hour complete disk agent fail disk agent abort disk agent disk agent total complete medium agent fail medium agent abort medium agent medium agent total mbytes total mb use medium total disk agent error total job bkwin hostname inc fail job scheduler,bpctwhsn kzqsbmtp,GRP_8,GRP_8,1073,2.0,0.7444000244140625,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['statistic', 'session_queuing', 'time', 'hour', 'fail', 'agent', 'disk_agent', 'total', 'complete', 'fail', 'agent', 'medium_agent', 'use', 'medium', 'total', 'error', 'total', 'job', 'scheduler']"
no power on the laptop,power laptop power laptop,vgtpkjhn flwsytik,GRP_0,GRP_0,22,1.0,0.7946000099182129,"company, site, ticket, network, circuit, reset, backup, start, power, vendor",['laptop']
frequent account lockout on windows ,frequent account lockout window frequent account lockout window,lwgytuxq qspdztiw,GRP_2,GRP_2,36,0.0,0.9855999946594238,"user, issue, tool, unable, access, error, need, work, help, system","['frequent', 'account', 'lockout', 'window', 'frequent', 'account', 'lockout', 'window']"
HostName_894 : volume: c:\ label:sys-HostName_894 28385a7b is over 90% space consumed. space available: 3.0 g,hostname volume label sys hostname ab space consume space available hostname volume label sys hostname ab space consume space available g,spxqmiry zpwgoqju,GRP_39,GRP_39,109,1.0,0.9174000024795532,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['space_available', 'hostname', 'space_available']"
ticket update on ticket_no0448847,ticket update ticket ticket update ticket,fumkcsji sarmtlhy,GRP_0,GRP_0,33,1.0,0.9563000202178955,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['ticket', 'update', 'ticket', 'ticket', 'update', 'ticket']"
engineering_tool not working ,engineer tool work engineering tool work,gpdywmbt pmxfiqkl,GRP_0,GRP_0,29,0.0,0.9641000032424927,"user, issue, tool, unable, access, error, need, work, help, system","['engineering', 'tool', 'work']"
need help resetting one of my team members hub/windows password.,need help reset one team member hub windows password need help reset one team member hub windows password,mzyejqvd xzbtcfar,GRP_0,GRP_0,64,0.0,0.8277999758720398,"user, issue, tool, unable, access, error, need, work, help, system","['need', 'help', 'reset', 'team', 'member', 'hub', 'need', 'help', 'reset', 'team', 'member', 'hub']"
password reset instruction ,password reset instruction summary hello need reset one team member password name user -PRON- gilbrmuyt,jdlxkygf wlzqaivr,GRP_0,GRP_0,112,0.0,0.8327000141143799,"user, issue, tool, unable, access, error, need, work, help, system","['instruction', 'summary', 'need', 'reset', 'team', 'member', 'password', 'user']"
ticket update on ticket_no0448893,ticket update ticket ticket update ticket,fumkcsji sarmtlhy,GRP_0,GRP_0,33,1.0,0.9563000202178955,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['ticket', 'update', 'ticket', 'ticket', 'update', 'ticket']"
please give schoegdythu read/write access to all files under  \\HostName_768\globalmfg\amerirtcas manufacturing\infrastructure\,please give schoegdythu read write access file hostname globalmfg amerirtcas manufacture infrastructure please give schoegdythu read write access file hostname globalmfg amerirtcas manufacture infrastructure mu,bwfhtumx japznrvb,GRP_34,GRP_34,136,0.0,0.7491000294685364,"user, issue, tool, unable, access, error, need, work, help, system","['give', 'schoegdythu', 'access', 'file', 'hostname', 'manufacture', 'infrastructure', 'give', 'schoegdythu', 'access', 'file', 'hostname', 'manufacture', 'infrastructure']"
please give gethyoff schoemerujt (schoegdythu) the same access to server HostName_776 as me (mccoyimgs),please give gethyoff schoemerujt schoegdythu access server hostname mccoyimgs please give gethyoff schoemerujt schoegdythu access server hostname mccoyimgs phone,bwfhtumx japznrvb,GRP_12,GRP_12,116,0.0,0.9641000032424927,"user, issue, tool, unable, access, error, need, work, help, system","['give', 'give', 'phone']"
skype does not work,skype work skype load phone problem last week,otagsuzp xazhusry,GRP_0,GRP_0,55,0.0,0.9641000032424927,"user, issue, tool, unable, access, error, need, work, help, system","['load', 'phone', 'problem']"
ticket update on inplant_868930,ticket update inplant ticket update inplant,fumkcsji sarmtlhy,GRP_0,GRP_0,31,2.0,0.954800009727478,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['ticket', 'update', 'inplant', 'ticket', 'update', 'inplant']"
unable to open emails in outlook,unable open email outlook unable open email outlook,lrbjqcmh jbiwtzqr,GRP_0,GRP_0,32,0.0,0.9855999946594238,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'open', 'email', 'outlook', 'unable', 'open', 'email', 'outlook']"
access to hr_tool denied,access hr tool deny access hr tool deny,uyhceqzr tpbdwiyv,GRP_2,GRP_2,24,0.0,0.9811000227928162,"user, issue, tool, unable, access, error, need, work, help, system","['hr', 'tool', 'access', 'hr', 'tool', 'deny']"
no access to engineering_tool : see attachment,access engineering tool see attachment access engineering tool see attachment,eagvusbr nguqityl,GRP_25,GRP_25,46,0.0,0.9883999824523926,"user, issue, tool, unable, access, error, need, work, help, system","['access', 'engineering', 'tool', 'see', 'attachment', 'access', 'engineering', 'tool', 'see', 'attachment']"
vpn shut down,vpn shut vpn shut clock back lunch phone say bee gone minute warn,hdfcwmag plxstkad,GRP_0,GRP_0,106,0.0,0.9836000204086304,"user, issue, tool, unable, access, error, need, work, help, system","['shut', 'back', 'lunch', 'phone', 'say', 'minute', 'warn']"
outlook doesn't start-up on my tablet dell latitude 7350,outlook start tablet dell latitude outlook start tablet dell latitude,kzbrimwx dconpwbu,GRP_0,GRP_0,56,1.0,0.6258000135421753,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['start', 'tablet', 'dell_latitude']"
it notices on the hub do not expire on the scheduled expiry date,notices hub expire schedule expiry date notices hub expire schedule expiry date notice expire still actively display today notice expire please review notice well,fdmaluyo tvecikxn,GRP_16,GRP_16,233,0.0,0.9944000244140625,"user, issue, tool, unable, access, error, need, work, help, system","['expire', 'schedule', 'expiry', 'date', 'notice', 'hub', 'expire', 'schedule', 'expiry', 'date', 'notice', 'expire', 'still', 'actively', 'display', 'today', 'notice', 'expire', 'review', 'notice', 'well']"
calls are coming to me but rerouting and showing a missed call,call come reroute show miss call call come reroute show miss call telephony software ext,vaniegrz dbocqmpt,GRP_7,GRP_7,90,0.0,0.9855999946594238,"user, issue, tool, unable, access, error, need, work, help, system","['come', 'show', 'call', 'call', 'come', 'show', 'miss', 'call']"
erp SID_37,erp sid able access sid sid however access sid reason get error state account access within validity date,qcfmxgid jvxanwre,GRP_2,GRP_2,163,0.0,0.9894000291824341,"user, issue, tool, unable, access, error, need, work, help, system","['able', 'access', 'however', 'access', 'reason', 'error', 'state', 'account', 'access', 'validity', 'date']"
" application erp - mii on node HostName_340 & HostName_339 is down"" ",application erp mii node hostname hostname application erp mii node hostname hostname,jyoqwxhz clhxsoqy,GRP_14,GRP_14,67,0.0,0.9103999733924866,"user, issue, tool, unable, access, error, need, work, help, system",['application']
ms office : word issue ,ms office word issue ms office word issue,wbtrvdsi gdbuvszx,GRP_0,GRP_0,23,0.0,0.9775000214576721,"user, issue, tool, unable, access, error, need, work, help, system","['word', 'issue', 'office', 'word', 'issue']"
access to SID_1,access sid good afternoon would please check error sid user revelj erp sid also need reset password sid error well,combxind bvptuqxr,GRP_0,GRP_0,241,0.0,0.8715000152587891,"user, issue, tool, unable, access, error, need, work, help, system","['would', 'check', 'error', 'user', 'also', 'need', 'reset', 'password', 'error', 'well']"
"unable to access company, password expired",unable access company password expire unable access company password expire,uzchtpxo ksvendorjir,GRP_0,GRP_0,42,0.0,0.7335000038146973,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'access', 'company', 'password', 'expire', 'unable', 'access', 'company', 'password', 'expire']"
danyhuie deyhtwet - a plant manager - keeps showing up on hr skype meetings.,danyhuie deyhtwet plant manager keep show hr skype meeting danyhuie deyhtwet plant manager keep show hr skype meeting,uazkjifp dhtnevcq,GRP_26,GRP_26,76,0.0,0.9811000227928162,"user, issue, tool, unable, access, error, need, work, help, system","['manager', 'keep', 'show', 'manager', 'keep', 'show']"
wifi,wifi hallo zusammen es werden bei mir keine wifi verbindungen mehr angezeigt zuhause kann ich mich nicht mehr einw hlen bitte um hilfe danke mit freundlichen gr en good,nbdljruw axcrspyh,GRP_0,GRP_0,226,0.0,0.5245000123977661,"user, issue, tool, unable, access, error, need, work, help, system","['einw', 'danke', 'gr_en', 'good']"
client's pc is rebooting randomly and also having office software issues,client pc reboot randomly also office software issue client pc reboot randomly also office software issue,dslamtcb ezbmonjr,GRP_3,GRP_3,72,0.0,0.8529999852180481,"user, issue, tool, unable, access, error, need, work, help, system","['client', 'pc', 'reboot', 'randomly', 'also', 'office', 'software', 'issue', 'client', 'pc', 'reboot', 'randomly', 'also', 'office', 'software', 'issue']"
unable to see my previous pay slips,unable see previous pay slip unable see previous pay slip,fjciqgav ybkqvazh,GRP_0,GRP_0,35,0.0,0.9811000227928162,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'see', 'previous', 'unable', 'see', 'previous']"
wifi not working in pennsylvania (wireless issue at waynesboro),wifi work pennsylvania wireless issue waynesboro wifi work pennsylvania access point work work stoppage issue try call christgry twice reach warehouse tool mail leave brief message dial able reach christgry,zcdirjeq azokfsdi,GRP_4,GRP_4,210,0.0,0.9945999979972839,"user, issue, tool, unable, access, error, need, work, help, system","['issue', 'waynesboro', 'access', 'point', 'work', 'work', 'stoppage', 'issue', 'try', 'call', 'twice', 'reach', 'warehouse', 'tool', 'mail', 'leave', 'brief', 'message', 'dial', 'able', 'reach', 'christgry']"
vpn shut down,vpn shut fix order go answer question skype notice skype lose connection notice vpn shut see pop note vpn shut,hdfcwmag plxstkad,GRP_0,GRP_0,196,0.0,0.9855999946594238,"user, issue, tool, unable, access, error, need, work, help, system","['order', 'go', 'answer', 'question', 'lose', 'connection', 'notice', 'note']"
vpn connectivity issues,vpn connectivity issue knock vpn connection anything particular finished call,gakceqyb edrjthvo,GRP_2,GRP_2,98,0.0,0.9810000061988831,"user, issue, tool, unable, access, error, need, work, help, system","['issue', 'knock', 'connection', 'particular', 'finished', 'call']"
